"Wednesday, August 5",,,,,
Race/Topicÿÿÿ(Click to Sort),Poll,Results,Spread,,
New Hampshire 2016 Democratic Primary,WMUR/UNH,"Clinton 42, Sanders 36, Biden 5, O'Malley 1, Webb 1, Chafee 0",Clinton +6,,
"Tuesday, August 4",,,,,
Race/Topicÿÿÿ(Click to Sort),Poll,Results,Spread,,
2016 Republican Presidential Nomination,CBS News,"Trump 24, Bush 13, Walker 10, Huckabee 8, Carson 6, Cruz 6, Rubio 6, Paul 4, Christie 3, Kasich 1, Perry 2, Santorum 1, Jindal 2, Fiorina 0, Graham 0",Trump +11,,
2016 Democratic Presidential Nomination,CBS News,"Clinton 58, Sanders 17, Biden 11, Webb 2, O'Malley 1, Chafee 1",Clinton +41,,
2016 Republican Presidential Nomination,Bloomberg,"Trump 21, Bush 10, Walker 8, Huckabee 7, Carson 5, Cruz 4, Rubio 6, Paul 5, Christie 4, Kasich 4, Perry 2, Santorum 2, Jindal 1, Fiorina 1, Graham 1",Trump +11,,
New Hampshire Republican Presidential Primary,WMUR/UNH,"Trump 24, Bush 12, Walker 11, Kasich 6, Christie 7, Paul 7, Carson 5, Rubio 3, Cruz 5, Huckabee 2, Fiorina 1, Jindal 2, Pataki 0, Perry 2, Santorum 1",Trump +12,,
"Monday, August 3",,,,,
Race/Topicÿÿÿ(Click to Sort),Poll,Results,Spread,,
2016 Republican Presidential Nomination,FOX News,"Trump 26, Bush 15, Walker 9, Huckabee 6, Carson 7, Cruz 6, Rubio 5, Paul 5, Christie 3, Kasich 3, Perry 1, Santorum 2, Jindal 1, Fiorina 2, Graham 0",Trump +11,,
2016 Democratic Presidential Nomination,FOX News,"Clinton 51, Sanders 22, Biden 13, Webb 1, O'Malley 1, Chafee 1",Clinton +29,,
2016 Republican Presidential Nomination,Monmouth,"Trump 26, Bush 12, Walker 11, Huckabee 6, Carson 5, Cruz 6, Rubio 4, Paul 4, Christie 4, Kasich 3, Perry 2, Santorum 1, Jindal 1, Fiorina 2, Graham 1",Trump +14,,
2016 Democratic Presidential Nomination,NBC News/Wall St. Jrnl,"Clinton 59, Sanders 25, Biden, Webb 3, O'Malley 3, Chafee 1",Clinton +34,,
South Carolina Republican Presidential Primary,Gravis Marketing,"Trump 34, Bush 11, Carson 11, Graham 5, Huckabee 6, Walker 10, Rubio 6, Cruz 3, Perry 3, Paul 1, Fiorina 2, Christie 3, Kasich 3, Santorum 1, Jindal 1",Trump +23,,
"Sunday, August 2",,,,,
Race/Topicÿÿÿ(Click to Sort),Poll,Results,Spread,,
2016 Republican Presidential Nomination,NBC/WSJ,"Trump 19, Bush 14, Walker 15, Huckabee 6, Carson 10, Cruz 9, Rubio 5, Paul 6, Christie 3, Kasich 3, Perry 3, Santorum 1, Jindal 1, Fiorina 0, Graham 0",Trump +4,,
"Friday, July 31",,,,,
Race/Topicÿÿÿ(Click to Sort),Poll,Results,Spread,,
General Election: Bush vs. Clinton,McClatchy/Marist,"Clinton 49, Bush 43",Clinton +6,,
General Election: Walker vs. Clinton,McClatchy/Marist,"Clinton 48, Walker 41",Clinton +7,,
General Election: Trump vs. Clinton,McClatchy/Marist,"Clinton 54, Trump 38",Clinton +16,,
General Election: Rubio vs. Clinton,McClatchy/Marist,"Clinton 47, Rubio 42",Clinton +5,,
General Election: Paul vs. Clinton,McClatchy/Marist,"Clinton 48, Paul 43",Clinton +5,,
General Election: Cruz vs. Clinton,McClatchy/Marist,"Clinton 49, Cruz 40",Clinton +9,,
General Election: Huckabee vs. Clinton,McClatchy/Marist,"Clinton 50, Huckabee 41",Clinton +9,,
General Election: Carson vs. Clinton,McClatchy/Marist,"Clinton 49, Carson 39",Clinton +10,,
